insurance_company,recover_office_zip_code,damage_address_zip_code,office_distance,case_creation_year,case_creation_month,project_id
C,4580,4580,"11,3",2024,5,187562
J,3940,3944,"4,2",2022,5,187563
E,3513,3533,19,2022,1,187566
C,2619,2613,"2,8",2020,1,187568
C,5463,5462,"2,6",2022,7,187573
N,9024,9006,"10,8",2022,10,187580
J,3513,3514,"6,1",2025,1,187581
J,2019,2004,"6,3",2024,4,187584
N,7604,7600,"0,5",2020,2,187587
N,6100,6160,"7,8",2022,9,187593
J,3962,4980,58,2020,6,187594
J,5412,5396,"41,7",2022,10,187596
C,5537,4260,5,2023,3,187599
D,2940,2940,"0,9",2025,2,187601
C,2900,2900,"2,4",2024,5,187603
K,7340,7340,"6,9",2022,2,187604
E,3157,3115,"8,3",2023,7,187606
N,5463,5460,"12,9",2021,11,187609
J,2383,2318,"15,9",2021,5,187610
N,6900,6900,"2,2",2020,9,187611
J,5911,5914,"5,4",2021,12,187612
J,3157,3175,"15,8",2023,10,187627
A,1767,1791,"3,5",2020,10,187629
J,283,1361,"5,5",2024,11,187630
N,1684,3011,"6,2",2023,6,187631
J,4636,4887,29,2021,12,187633
D,7038,7027,"5,6",2020,8,187634
C,7670,7655,"9,3",2025,3,187638
G,8402,8415,"12,5",2024,10,187641
J,1618,1605,"4,4",2024,10,187643
J,2714,2770,"2,8",2022,8,187645
K,975,576,7,2018,12,187646
N,7503,7530,"68,3",2022,7,187647
J,7604,7602,"4,5",2020,1,187649
J,5700,5705,"2,1",2020,3,187652
C,283,266,"7,2",2023,9,187653
C,6856,6868,"30,5",2021,2,187654
C,8370,8392,61,2024,2,187655
J,1406,1405,"6,5",2022,10,187656
C,8803,8890,"21,6",2025,2,187657
J,3232,3214,"3,2",2022,2,187658
N,6415,6419,"4,7",2022,4,187659
K,8012,8019,"9,5",2022,6,187661
N,9845,9935,"77,1",2023,10,187663
C,4013,4013,"0,6",2023,5,187665
N,6718,6727,"26,9",2022,4,187666
E,6100,6141,25,2021,1,187668
C,5147,5151,"4,6",2020,6,187670
G,5360,5363,"18,5",2019,7,187671
C,2900,2930,"26,9",2020,6,187672
E,4313,4313,"12,3",2022,10,187676
J,1383,1385,"2,4",2020,8,187678
J,5911,5912,"9,7",2025,3,187683
C,5360,5179,"8,5",2025,2,187693
J,8012,8072,"6,6",2021,2,187695
N,6856,6899,"48,6",2021,2,187702
C,4313,4020,"7,9",2025,1,187711
J,1684,1675,"9,7",2021,5,187713
D,5911,5953,"44,8",2020,9,187714
C,3919,3734,"5,8",2021,2,187727
J,8400,8480,"97,4",2021,8,187739
C,7604,7620,"11,3",2022,11,187741
N,975,1462,"7,9",2021,3,187756
N,1599,1555,"13,6",2023,10,187759
N,977,488,"12,5",2022,8,187764
J,5147,5152,"7,6",2020,11,187779
K,3262,3269,4,2019,10,187783
J,6100,6065,"41,6",2023,7,187796
C,3414,3030,"13,1",2019,11,187823
C,6770,6770,"2,4",2023,6,187825
C,1618,1605,"5,6",2024,1,187827
C,9360,9350,"28,7",2024,10,187828
N,3232,3229,9,2020,12,187836
C,283,1362,5,2024,4,187842
D,6809,6817,"11,2",2024,1,187849
D,3962,3967,"5,1",2022,6,187851
K,7038,7170,"107,4",2020,1,187859
C,4580,4550,"26,7",2024,3,187861
H,3735,3830,"25,5",2023,10,187879
D,5537,5527,"4,8",2024,5,187884
C,6415,6445,"7,4",2023,9,187885
N,283,760,16,2020,12,187908
C,1188,552,10,2023,5,187930
C,975,461,"9,5",2020,9,187941
N,7820,7863,"26,6",2023,1,187946
N,3157,3153,"11,2",2020,12,187952
C,5360,5360,"6,1",2021,6,187954
N,2056,2040,"17,6",2021,3,187956
J,4636,4635,"4,3",2019,12,187957
C,9024,9008,"5,5",2023,2,187958
J,5131,5722,"51,7",2024,6,187959
J,1406,1459,"30,8",2022,1,187961
J,4313,4052,"7,3",2021,4,187962
C,4344,4365,"10,5",2022,2,187963
J,9024,9021,"12,8",2022,11,187964
N,5537,5534,"3,3",2023,10,187969
C,5537,5527,5,2022,2,187972
C,4820,4842,"6,1",2020,2,187974
C,3232,3208,"4,2",2024,7,187976
J,6783,6783,"9,6",2021,11,187977
K,7604,7653,"11,9",2022,11,187979
E,5147,5148,"2,6",2020,11,187981
F,9409,8410,"74,1",2023,9,187982
C,2900,2930,"15,5",2021,8,187983
K,1086,2034,29,2023,8,187984
C,5430,5430,"3,7",2021,10,187985
N,6415,6460,"50,5",2021,1,187986
N,3262,3271,4,2022,12,187987
J,4313,4317,"8,8",2023,8,187989
N,3232,3263,14,2021,3,187990
N,7820,7863,"26,5",2021,1,187992
H,1739,1719,"16,9",2024,4,187993
C,3683,3675,"4,4",2022,7,187996
N,1188,689,"3,9",2021,7,187997
N,1739,1890,"21,5",2021,8,187998
K,9024,9020,"8,6",2023,11,187999
N,6100,6120,"4,6",2020,10,188000
N,6100,6065,34,2023,4,188001
J,975,767,"16,2",2020,2,188002
C,1599,1592,13,2023,8,188009
J,6783,6783,"8,2",2022,10,188013
C,1618,1605,"6,2",2022,5,188014
C,283,751,"3,7",2023,12,188015
K,7714,7670,"22,7",2023,12,188016
D,5911,5914,"5,7",2024,3,188017
N,7900,7940,"8,8",2020,11,188018
C,4013,4027,"6,1",2023,10,188019
J,1618,1621,"10,1",2023,9,188021
K,7820,7900,"90,8",2021,12,188022
C,1599,1531,"4,4",2024,1,188023
G,8402,8484,"53,4",2023,2,188024
C,9024,9064,"63,9",2025,2,188025
J,8613,8186,"138,5",2022,6,188028
C,8370,8300,"52,9",2020,11,188029
D,5430,5420,"5,5",2021,5,188031
C,3219,3213,"5,7",2020,9,188033
J,1626,1640,"16,7",2022,6,188035
E,7604,7605,"1,3",2023,5,188036
D,7038,7036,"1,8",2021,3,188039
C,5700,5706,"22,3",2022,2,188041
C,9024,9020,"3,4",2021,6,188043
E,4344,4351,"11,1",2021,7,188046
J,5147,5254,"8,2",2019,10,188047
J,3513,3513,"1,4",2023,3,188049
C,1188,1263,"9,4",2023,8,188051
K,1406,1914,"15,1",2023,4,188052
C,8613,8611,"10,9",2023,1,188053
N,3718,3748,"17,3",2022,10,188054
C,485,578,"4,7",2025,2,188057
N,9407,9405,"1,6",2020,4,188058
J,4515,4520,15,2021,1,188060
K,1400,1446,24,2020,9,188061
J,4636,4870,"47,7",2024,2,188062
N,7038,7350,"20,6",2020,8,188063
N,7820,7970,"99,1",2020,12,188064
C,8006,8071,"4,6",2023,9,188067
D,4013,4016,"3,9",2024,6,188068
J,975,951,"1,7",2020,11,188069
E,8208,8110,"81,1",2021,2,188071
K,3083,3080,"2,9",2023,4,188072
C,1406,1400,3,2024,7,188073
J,4515,4520,"24,9",2021,10,188075
C,6718,6700,"7,4",2020,3,188076
J,5147,5006,"5,9",2020,7,188077
C,283,162,"8,4",2023,8,188079
J,9360,9360,"2,7",2021,4,188081
J,3262,3292,"9,2",2021,5,188083
K,8006,8030,"9,9",2024,8,188086
G,8613,8614,"4,5",2021,3,188087
C,2940,2973,"25,3",2020,11,188089
C,283,382,"1,6",2024,4,188094
N,3262,3274,"2,8",2023,8,188096
D,8900,8904,"2,9",2021,5,188098
C,975,170,"10,1",2021,9,188099
J,6770,6774,4,2023,1,188101
C,283,375,"4,9",2023,8,188102
C,4013,4085,"4,6",2020,9,188103
C,6100,6100,"0,4",2024,1,188106
J,9024,9010,"6,8",2022,7,188109
C,7038,7022,"5,3",2022,10,188114
C,2211,2213,"4,8",2019,4,188120
O,7038,7020,"5,9",2025,5,188124
H,3138,3145,"17,7",2021,7,188125
K,7604,7608,"6,9",2023,12,188127
J,6800,6810,"1,6",2022,12,188129
E,5147,5000,0,2020,8,188131
C,5700,5780,"37,5",2025,4,188132
K,3718,3746,"5,5",2023,10,188136
C,5147,5141,"4,2",2022,3,188137
J,2619,2632,71,2021,1,188139
J,2406,2407,"4,6",2022,1,188140
C,5147,5230,"9,3",2019,8,188142
C,1086,663,"8,3",2021,7,188143
N,9024,9056,"78,7",2020,6,188146
E,7038,7038,"1,9",2022,10,188147
E,2056,1923,"15,3",2020,11,188150
E,5911,5970,"69,7",2023,11,188151
J,4820,4843,"6,9",2020,12,188152
C,1086,687,"9,6",2020,10,188153
J,7604,7603,2,2024,7,188157
J,7714,7760,"56,9",2024,5,188158
J,4013,4168,"55,2",2020,6,188160
J,5360,5314,"32,6",2023,1,188162
D,9407,9408,"1,6",2020,12,188165
E,9845,9515,"380,8",2024,9,188166
D,3184,3185,"4,5",2023,1,188167
C,5537,4260,"5,7",2022,4,188168
J,9024,9105,"17,1",2020,1,188169
J,5147,5251,"4,8",2022,10,188170
J,8006,8016,12,2025,1,188172
K,3718,3733,"2,6",2021,8,188173
J,8370,8370,"2,1",2023,2,188175
E,5537,4275,"18,7",2025,1,188176
C,2714,2760,"15,3",2022,9,188179
J,1188,1165,"5,9",2021,10,188180
C,4313,4041,"9,5",2021,5,188182
J,5147,5072,10,2022,1,188183
C,4580,4560,"24,8",2021,5,188186
K,3262,3221,"15,1",2019,10,188188
J,9912,9910,"3,8",2025,1,188189
C,4344,4365,"8,6",2022,9,188193
K,1400,1435,"10,3",2022,2,188195
J,4636,4824,"52,9",2023,7,188196
C,6900,6908,"2,8",2024,6,188197
H,2019,1920,"20,1",2023,8,188198
D,4636,4617,"13,1",2025,2,188199
C,1711,1719,"6,1",2023,10,188200
C,4013,4017,"4,5",2024,1,188204
J,8613,8735,"70,8",2022,10,188207
C,7503,7504,"2,7",2023,1,188209
J,5542,5563,"9,7",2021,2,188210
N,1188,1187,"1,4",2021,1,188211
C,7038,7033,"3,8",2020,4,188214
J,1188,1178,"4,6",2020,11,188216
C,6008,6018,"8,8",2021,5,188218
C,5360,5382,"11,6",2021,7,188220
K,3718,3942,"17,2",2021,10,188221
J,4820,4812,"16,7",2020,12,188224
N,7038,7068,"6,5",2020,9,188226
J,1711,1712,"2,6",2022,1,188228
N,5147,5067,"10,9",2021,4,188230
J,3184,3182,"4,8",2021,4,188231
N,6900,6900,"2,1",2022,7,188232
N,1739,1710,"8,6",2022,7,188233
N,3157,3170,"7,9",2021,11,188234
C,283,356,7,2025,5,188235
J,6900,6723,"56,9",2022,9,188236
D,5147,5253,7,2021,4,188237
J,5147,5145,"2,9",2024,9,188239
D,5360,5378,"20,2",2024,9,188240
N,1599,1514,"11,5",2020,7,188242
J,1188,1181,"8,3",2022,8,188244
J,9024,9107,"20,3",2023,11,188245
C,4580,4580,"8,7",2024,7,188246
J,8012,8063,"92,9",2021,12,188247
G,2821,2870,"40,7",2021,5,188248
C,6415,6450,"13,8",2022,7,188250
C,2900,2933,"17,3",2021,8,188252
D,7038,7058,"7,7",2020,11,188254
C,2900,2870,"31,8",2020,3,188260
H,2619,2611,"7,9",2019,9,188261
C,5147,5010,"7,2",2022,2,188262
C,6783,6798,"46,4",2024,5,188264
K,1086,376,"17,1",2022,7,188265
J,6783,2690,116,2021,2,188268
N,1400,3475,"33,6",2021,9,188269
C,5537,4262,"4,7",2021,4,188270
D,4013,4005,"1,5",2022,3,188271
C,6009,6015,"2,8",2022,1,188273
D,2383,2385,3,2024,9,188274
J,283,1359,"5,3",2025,1,188278
J,1622,1624,"4,9",2021,11,188279
J,6800,6814,"1,2",2023,7,188282
J,3138,3112,"8,6",2020,6,188284
J,5360,5350,"6,1",2022,2,188286
J,6800,6800,"2,7",2023,8,188289
N,4313,4083,16,2021,11,188290
N,1739,1746,"9,6",2020,7,188292
J,1618,1618,"1,1",2020,5,188293
N,2019,981,"10,3",2023,8,188300
C,3262,3274,"2,2",2021,10,188301
H,283,751,"3,5",2023,3,188306
C,4612,4634,"10,1",2023,6,188311
J,4515,4517,"1,7",2022,2,188313
J,977,951,"4,4",2022,10,188316
J,4515,4519,"9,5",2022,4,188317
J,9024,9100,"14,9",2022,1,188318
C,6783,6789,"16,4",2024,6,188319
C,6008,6006,"9,4",2021,4,188322
K,8402,8404,"9,2",2021,12,188323
C,7038,7068,"6,6",2023,4,188325
J,5463,3895,"165,6",2023,7,188326
K,3262,3290,"10,5",2023,1,188327
E,3032,3070,"18,3",2022,1,188329
J,7170,7168,63,2021,7,188331
C,3550,3560,"36,4",2020,7,188333
E,3232,3227,"11,3",2022,5,188334
N,3300,3612,"22,9",2022,5,188336
J,1400,1424,"4,8",2022,8,188338
J,975,555,"8,5",2020,7,188341
F,7900,7900,"37,7",2022,7,188343
J,5542,5537,"1,7",2020,10,188349
J,1188,1274,"9,9",2020,9,188352
C,2406,2340,"14,3",2022,7,188353
J,4820,4844,"7,7",2020,12,188355
N,1767,1781,"2,8",2023,6,188359
N,2406,2410,23,2022,12,188364
C,8370,8300,"66,2",2022,8,188365
J,3735,3830,"15,9",2023,9,188368
J,3138,3132,"6,1",2020,11,188372
J,3683,3678,"3,6",2021,11,188373
H,2406,2450,"33,8",2023,6,188375
C,7340,7340,"6,7",2021,6,188376
C,283,267,"5,2",2021,12,188379
J,5430,5440,"12,4",2022,8,188384
C,283,271,"5,2",2024,1,188385
N,9845,9990,"106,8",2023,8,188386
A,2940,2900,22,2022,4,188387
H,6100,6143,"50,8",2023,12,188388
N,5033,5134,13,2023,10,188390
C,283,373,"8,6",2023,8,188391
N,7038,7049,"5,3",2020,6,188392
N,4313,4019,"9,4",2023,6,188394
N,4820,4879,"26,6",2021,2,188395
N,8613,8610,3,2021,11,188397
E,5911,5919,"18,3",2022,8,188401
J,1400,1410,"12,4",2020,3,188402
N,3513,3512,"10,9",2023,8,188405
H,1739,1721,"5,5",2024,1,188406
C,7038,7023,"7,1",2023,2,188413
N,7604,7653,"12,4",2023,2,188414
H,1618,1654,"10,8",2019,9,188418
J,3940,3947,"14,8",2020,9,188421
J,4848,4839,"4,1",2021,5,188424
E,4372,4387,"13,6",2021,3,188426
N,3157,3118,"8,1",2023,1,188427
J,4344,4340,"4,8",2020,9,188428
K,8400,8445,"43,7",2020,8,188429
C,5537,5538,"1,7",2022,7,188431
C,1618,1618,"0,2",2024,4,188432
J,8370,8370,"1,2",2023,1,188433
C,7038,7013,"5,2",2023,1,188434
J,3683,3812,"23,2",2021,1,188437
N,2019,982,"10,4",2023,2,188442
J,2211,2133,"38,2",2025,4,188444
D,5360,5380,"17,7",2024,2,188446
N,9845,9803,"67,1",2023,8,188447
J,3718,3275,"41,5",2024,1,188450
J,4580,4473,"87,1",2020,10,188451
C,1738,1739,"2,4",2022,11,188454
C,7820,7770,"67,6",2020,4,188455
K,7038,7240,"121,7",2022,11,188456
N,6100,6065,"28,8",2023,8,188457
C,1188,169,12,2020,4,188460
N,4313,4051,"3,8",2022,6,188461
A,5542,5527,"4,7",2020,8,188463
K,8613,8610,"3,5",2021,11,188465
C,4313,4321,"9,7",2021,8,188468
J,2619,2625,"7,5",2022,8,188470
C,3718,3716,"4,3",2022,5,188471
C,1711,1725,"1,4",2023,7,188473
N,3513,3534,"18,8",2023,3,188474
J,2383,2380,"2,7",2020,10,188475
N,3232,3213,"8,8",2021,6,188481
N,3057,3041,"8,6",2022,11,188483
J,975,481,7,2020,11,188484
H,4013,4018,"6,5",2024,5,188485
K,2056,1929,"21,8",2024,4,188486
N,1188,1254,"10,1",2020,8,188487
L,5033,5105,"5,7",2024,1,188489
J,4820,4848,"5,1",2020,8,188491
J,3219,3233,"7,2",2020,8,188504
F,7300,7327,"18,5",2023,1,188506
K,7604,7655,"16,7",2023,12,188508
K,3944,3914,"5,6",2025,4,188510
J,5700,5710,5,2020,11,188511
G,1739,1734,"9,4",2024,10,188513
L,4580,4580,"9,5",2024,12,188514
N,7714,7718,"22,4",2020,10,188518
J,975,958,"2,8",2020,5,188521
N,2714,2032,"41,6",2023,8,188523
K,8370,8300,"67,8",2021,9,188524
C,8402,8484,"51,3",2022,4,188525
C,1711,1738,"6,7",2024,4,188526
G,3513,3520,"17,1",2023,4,188527
E,1618,1615,"9,9",2022,12,188529
J,8006,8120,"63,2",2024,6,188530
J,1086,2020,29,2023,9,188531
J,9900,9910,"11,2",2020,8,188532
H,8656,8800,"60,8",2019,9,188533
C,2940,2943,"13,9",2020,5,188535
D,3057,3055,6,2024,1,188537
J,5147,5141,"2,4",2023,11,188542
J,3219,3234,"2,8",2019,12,188543
E,6100,6190,"35,5",2024,1,188546
J,1400,1407,11,2022,1,188547
E,6800,6817,"12,4",2021,2,188548
K,9024,9104,"14,7",2022,2,188550
J,3219,3229,"4,7",2021,2,188553
C,283,1359,"4,8",2023,8,188554
N,4313,4307,"6,2",2021,2,188555
C,4013,4042,"5,6",2022,1,188559
J,4636,4639,"8,6",2020,6,188564
N,2019,1476,"11,1",2023,8,188565
C,4013,4027,"6,2",2023,12,188568
E,3513,3514,"3,8",2024,3,188572
J,9409,9415,"6,9",2021,3,188574
H,8803,8890,"21,2",2022,12,188575
N,1188,1176,"3,7",2023,6,188576
J,5537,5570,"18,4",2022,6,188577
K,8402,8450,"30,4",2024,12,188578
J,9024,9103,27,2021,9,188579
J,7038,7072,"7,5",2022,3,188584
C,283,176,"8,2",2022,11,188585
C,1406,1405,"5,6",2023,8,188587
N,1086,1162,"14,2",2021,2,188588
C,9409,8535,"50,3",2023,5,188591
D,5430,5427,"2,9",2020,3,188592
J,283,1350,"18,5",2024,3,188594
C,7820,7770,"69,8",2021,2,188597
K,7300,7246,"67,5",2024,8,188598
C,1599,1591,"7,4",2022,4,188600
C,9409,9430,"26,4",2024,1,188603
J,7038,7072,"7,3",2022,3,188604
J,2619,2618,"9,2",2024,9,188606
C,2150,2150,"2,7",2024,2,188607
J,9360,9385,"128,1",2022,6,188609
N,4820,4812,"24,4",2021,2,188610
N,5537,5523,6,2022,3,188611
K,8900,8907,"1,9",2022,8,188613
N,4636,4632,"9,1",2023,9,188614
C,3262,3257,"1,4",2021,3,188617
J,1188,1182,5,2021,9,188619
E,8613,8616,"4,9",2022,1,188620
C,975,593,4,2019,10,188621
E,4735,4540,"46,2",2023,6,188622
D,6023,6012,"2,3",2021,10,188625
C,2383,2320,"7,8",2020,2,188626
L,2150,2150,"5,2",2025,5,188627
J,5430,5427,"14,9",2021,5,188628
J,1400,1408,5,2021,10,188629
C,2821,2819,"2,2",2020,12,188630
K,1389,1389,"1,5",2025,2,188633
N,3232,3244,"2,9",2020,11,188634
J,5537,5531,"4,2",2022,10,188636
C,9514,9515,"1,3",2022,11,188637
E,,3055,0,2024,9,188644
C,7604,7608,"9,5",2021,2,188647
J,9409,9440,"48,9",2022,8,188649
C,1188,1182,"5,3",2022,1,188651
C,3083,3085,"3,2",2022,7,188652
N,4636,4638,"6,2",2023,2,188653
E,8613,8618,9,2019,11,188654
D,7038,7125,"40,4",2023,6,188656
C,1711,1707,"1,7",2025,3,188658
J,9900,9901,"0,6",2022,2,188659
C,5360,5357,"12,5",2021,1,188662
J,5360,5363,"9,9",2023,11,188665
J,2770,2743,"27,9",2025,1,188667
C,2900,2960,"13,4",2023,4,188668
N,4313,4021,"9,3",2021,12,188671
K,8208,8210,"4,9",2023,8,188674
K,2940,2680,"108,4",2024,7,188675
N,3513,3530,"18,4",2023,8,188678
J,7038,7057,"7,3",2022,3,188679
N,5147,5055,"7,4",2020,3,188684
C,1400,1425,4,2020,11,188687
J,2619,2625,"9,1",2021,8,188690
C,1086,470,"8,5",2022,6,188692
C,1086,578,"7,9",2022,5,188693
C,3944,3947,"8,8",2024,2,188694
J,9407,9403,2,2021,8,188695
J,4820,4820,2,2022,2,188697
N,5147,5052,"8,7",2022,6,188699
N,9900,9900,1,2021,4,188701
E,,6094,"644,2",2020,9,188702
D,8370,8372,"6,9",2024,11,188703
N,3262,3267,"5,8",2023,1,188704
C,4344,4360,"13,8",2022,12,188707
N,8900,8920,"29,6",2022,6,188708
C,3184,3187,"3,7",2021,10,188709
K,7038,7050,"3,5",2020,4,188710
C,1599,1524,"4,6",2023,8,188712
H,3300,3370,"29,5",2022,12,188714
N,5033,5036,1,2021,9,188715
C,1400,1914,"12,1",2020,11,188716
J,975,590,"5,3",2020,11,188718
J,1618,1655,"15,7",2019,12,188719
C,1086,477,"9,4",2021,6,188720
N,283,480,"11,7",2021,11,188724
J,1188,1284,"6,1",2023,1,188728
C,1850,1878,"9,4",2023,8,188729
E,3157,3121,"7,6",2022,10,188730
J,8656,8680,"41,5",2021,6,188731
D,8656,8664,"19,9",2020,3,188737
J,2821,2825,"4,3",2021,7,188738
K,9024,9012,"9,3",2021,2,188739
N,7038,7037,"1,7",2021,7,188740
K,7500,7550,"13,3",2021,9,188745
C,1599,1592,"13,4",2025,2,188747
J,3024,3029,"2,6",2022,3,188749
H,1188,1182,"5,1",2023,11,188751
C,283,271,"5,2",2024,1,188752
J,9024,9022,3,2024,10,188753
E,1188,1152,"3,2",2022,2,188755
C,1911,1911,"1,2",2020,11,188757
K,7820,7860,"14,1",2020,3,188758
N,2383,2413,"4,8",2020,11,188759
J,6023,6270,"41,5",2022,1,188760
C,7714,7725,"2,6",2021,9,188763
N,3057,3410,"17,7",2022,7,188766
C,283,1368,"4,5",2021,12,188767
N,3683,3825,"54,8",2020,5,188769
F,2900,2910,"23,4",2024,3,188770
J,3032,3033,"2,2",2020,11,188771
K,8400,8432,"36,6",2022,1,188772
J,8400,8407,"7,7",2021,1,188773
C,8370,8370,"14,9",2020,8,188776
C,1400,1456,34,2020,11,188778
C,975,489,"9,6",2020,10,188779
J,6900,6908,"3,4",2023,2,188783
N,7038,7020,"6,5",2023,1,188785
E,5911,5936,"13,1",2021,5,188791
J,1711,1657,"9,5",2022,1,188792
C,3024,3402,"9,5",2021,10,188795
C,8012,8020,"10,4",2019,12,188798
J,2383,2323,"16,7",2022,8,188799
C,975,1167,"16,3",2021,4,188801
C,4013,4014,"1,5",2023,12,188805
J,3550,3570,"28,8",2022,2,188806
J,3962,3961,"6,2",2022,9,188807
N,6800,6967,"66,9",2020,12,188808
N,7714,7725,"2,8",2020,4,188809
N,1767,1767,0,2021,3,188810
J,1400,1443,"22,9",2022,2,188811
E,1086,1188,"13,7",2022,5,188813
C,8012,8008,"4,4",2020,9,188815
C,4848,4821,"9,4",2022,2,188817
J,6856,6854,"8,8",2020,12,188820
J,1383,1395,"7,9",2020,2,188821
N,7604,7500,"47,8",2021,9,188822
E,5430,5437,"11,6",2021,8,188826
H,8656,8690,"107,1",2022,8,188829
C,1086,1461,"2,9",2022,7,188834
E,3513,3514,7,2022,9,188836
N,5147,5238,"14,9",2023,2,188839
J,6422,6300,"56,7",2024,4,188840
F,5463,5470,"14,3",2023,2,188841
J,283,1358,"3,6",2025,6,188842
E,3232,3231,"14,1",2024,2,188845
N,1767,1768,"0,9",2020,8,188846
C,9024,9007,"7,2",2025,3,188847
C,8370,8300,"67,4",2024,2,188851
J,975,564,"8,7",2021,5,188853
L,1684,1676,"6,6",2024,4,188859
C,4013,4021,"4,9",2020,4,188860
D,3300,3300,"2,5",2020,8,188862
E,5147,5142,"2,4",2023,9,188863
C,8370,8310,"58,5",2022,1,188866
J,4636,4825,"54,1",2023,8,188868
C,5412,5694,"26,7",2024,11,188869
C,8370,8357,"17,2",2022,2,188870
C,3919,3736,"2,3",2022,2,188872
J,4335,4308,"36,6",2021,1,188873
N,9845,9980,152,2021,1,188875
C,7503,7517,"11,7",2021,12,188878
N,3232,3218,"10,7",2020,8,188879
N,5147,5115,"18,3",2022,5,188881
C,1711,1711,"0,9",2022,11,188885
J,6900,6905,"1,2",2024,7,188887
C,4580,4580,"3,6",2022,9,188889
J,2019,1900,"12,6",2024,1,188890
C,2383,2387,"4,2",2022,8,188891
J,4313,4050,3,2023,9,188892
J,7038,7113,"77,3",2020,1,188893
K,1086,2016,"16,9",2023,8,188894
E,1400,1406,"4,6",2020,10,188901
N,6900,6900,"1,7",2022,3,188904
J,5360,5337,"24,1",2023,11,188906
K,7503,7503,"1,6",2019,11,188910
J,3126,3126,1,2024,10,188914
G,3300,3370,28,2020,11,188916
C,5918,5919,"13,5",2024,4,188918
J,3219,3160,10,2023,1,188922
C,6008,6050,"11,3",2020,10,188925
C,9407,9403,"4,2",2021,3,188926
C,4013,4041,"5,6",2024,1,188929
C,283,370,6,2023,8,188930
J,5537,5537,"1,2",2024,2,188932
C,7604,7605,"2,6",2020,11,188933
C,3550,3579,"18,4",2020,5,188935
D,3262,3260,"3,4",2021,12,188937
K,1086,584,"9,7",2024,3,188938
C,4313,4051,"3,8",2020,12,188942
C,8370,8372,6,2023,1,188943
J,3414,3414,"0,8",2022,9,188950
N,4820,4844,"14,6",2021,7,188954
N,1086,672,"5,8",2023,8,188956
C,8613,8622,3,2020,1,188957
N,975,171,"9,9",2020,12,188960
J,6783,6789,18,2023,3,188963
G,9360,8516,"76,7",2021,1,188964
E,8400,8400,1,2022,4,188967
J,1599,1560,"16,9",2021,12,188969
C,5033,5011,"3,9",2024,1,188972
N,5537,5517,"8,5",2023,7,188974
E,5147,5253,"8,1",2021,3,188981
C,8006,8012,"1,5",2022,11,188982
D,8900,8908,"10,8",2021,4,188983
C,2056,2056,"3,5",2023,8,188984
J,1618,1606,"6,6",2025,1,188986
K,8370,8310,"61,8",2023,12,188989
C,975,465,"9,7",2021,4,188990
C,7604,7608,"7,7",2024,4,188992
C,2150,2164,"13,9",2018,8,188996
J,9360,9392,"128,2",2024,10,188999
J,4013,4026,"3,8",2023,12,189004
C,2815,2816,"0,8",2025,2,189006
J,5147,5252,"7,1",2021,4,189011
J,2406,2420,"97,2",2021,10,189012
E,7820,7860,"14,8",2022,3,189015
J,3032,3032,"1,2",2025,2,189016
J,5147,5259,"12,9",2020,6,189017
E,4344,4365,"7,7",2023,9,189021
J,1739,1738,"3,7",2021,11,189023
F,6100,6196,"33,1",2019,11,189024
J,2406,2407,"5,1",2024,4,189025
C,7604,7604,"1,2",2021,6,189027
E,7038,7540,"17,3",2021,1,189028
N,4313,4307,"7,2",2021,11,189029
N,5147,5039,"14,3",2022,12,189030
J,3219,3159,"16,2",2022,6,189032
C,2940,2940,"2,8",2021,10,189033
E,1599,1672,"35,9",2021,5,189034
J,1738,1816,"31,8",2023,8,189037
N,5147,5142,"0,7",2023,9,189038
C,9912,9926,"61,4",2024,10,189039
J,283,1356,"4,8",2023,3,189040
I,7038,7089,"10,8",2022,1,189042
E,8613,8672,58,2020,12,189043
C,4013,4006,"0,9",2019,10,189044
C,4313,4054,"9,9",2019,12,189047
E,3414,3400,"4,7",2022,4,189049
N,4636,4623,"18,2",2022,4,189053
E,9514,9520,"135,3",2022,4,189055
J,5131,5261,"16,6",2023,8,189061
C,6900,6723,"54,6",2021,3,189066
N,283,1359,"5,7",2022,8,189067
N,2019,1364,"31,3",2022,12,189069
C,1188,1283,"6,4",2020,10,189072
J,6800,6985,"68,6",2020,2,189074
K,7604,7052,"83,1",2022,9,189078
C,9152,9157,"17,8",2020,10,189080
H,6800,6876,"160,5",2021,12,189082
C,1599,1532,"3,4",2023,11,189083
C,7038,7036,"2,8",2023,4,189086
N,4636,4626,"15,7",2023,7,189087
K,5700,5709,"5,6",2024,2,189088
J,6718,6700,"6,4",2024,8,189089
N,4313,4054,"11,7",2022,11,189090
C,1599,1518,"7,1",2023,6,189093
J,9024,9017,"9,5",2020,1,189094
K,2940,2685,"113,4",2024,3,189095
C,1738,1738,"2,2",2024,1,189101
N,5147,5119,"18,6",2020,11,189105
J,4612,4631,"2,6",2024,3,189107
E,9514,9516,"3,2",2021,3,189109
E,7038,7080,"11,1",2025,5,189110
F,6023,6050,"26,8",2023,2,189112
N,6800,6800,"1,9",2023,6,189113
D,5147,5251,"8,7",2019,3,189117
C,283,750,3,2023,5,189118
N,4636,4617,"12,6",2023,7,189119
D,8613,8725,"34,6",2019,3,189120
H,3138,3145,"15,3",2020,1,189126
C,9024,9008,"6,1",2023,1,189127
J,7038,7051,"4,2",2024,10,189129
C,4313,4323,11,2020,1,189131
J,5147,5007,"7,1",2022,5,189132
